 WA OR CA ID NV UT AZ MT WY CO NM ND SD NE KS OK TX MN IA MO AR
WA 0 367.4 0 593.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OR 0 0 672 395 530.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
CA 0 0 0 0 416.9 0 735.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ID 0 0 0 0 542.3 514.1 0 460.5 517.5 0 0 0 0 0 0 0 0 0 0 0 0
NV 0 0 0 0 0 470.9 701.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
UT 0 0 0 0 0 0 581.6 0 478.3 422.9 596.3 0 0 0 0 0 0 0 0 0 0
AZ 0 0 0 0 0 0 0 0 0 713.2 445.2 0 0 0 0 0 0 0 0 0 0
MT 0 0 0 0 0 0 0 0 423 0 0 530.3 718.6 0 0 0 0 0 0 0 0
WY 0 0 0 0 0 0 0 0 393.9 0 0 499 512.4 0 0 0 0 0 0 0 0
CO 0 0 0 0 0 0 0 0 0 0 406 0 0 385.4 465.4 792.4 0 0 0 0 0
NM 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 573.9 450 0 0 0 0
ND 0 0 0 0 0 0 0 0 0 0 0 0 326.8 0 0 0 0 355.3 0 0 0
SD 0 0 0 0 0 0 0 0 0 0 0 0 0 244.9 0 0 0 454.1 466.1 0 0
NE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 229.5 0 0 0 417.2 607.6 0
KS 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 357.1 0 0 0 456.1 0
OK 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 341.5 0 0 422.1 361.8
TX 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 583.7
MN 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 404.2 0 0
IA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 339.2 0
MO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 241.6
AR 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
